lakehouse_schema_name,lakehouse_table_name,data_warehouse_schema_name,data_warehouse_table_name
rpd,Submissions,rpd,Submissions
rpd,SubmissionEvents,rpd,SubmissionEvents
rpd,OrganisationsConnections,rpd,OrganisationsConnections
rpd,PersonOrganisationConnections,rpd,PersonOrganisationConnections
rpd,PersonsConnections,rpd,PersonsConnections
rpd,Enrolments,rpd,Enrolments
rpd,ComplianceSchemes,rpd,ComplianceSchemes
rpd,SelectedSchemes,rpd,SelectedSchemes
rpd,AuditLogs,rpd,AuditLogs
rpd,EnrolmentStatuses,rpd,EnrolmentStatuses
rpd,InterOrganisationRoles,rpd,InterOrganisationRoles
rpd,Nations,rpd,Nations
rpd,OrganisationToPersonRoles,rpd,OrganisationToPersonRoles
rpd,OrganisationTypes,rpd,OrganisationTypes
rpd,PersonInOrganisationRoles,rpd,PersonInOrganisationRoles
rpd,Services,rpd,Services
rpd,Users,rpd,Users
rpd,Organisations,rpd,Organisations
rpd,ServiceRoles,rpd,ServiceRoles
rpd,Persons,rpd,Persons
rpd,DelegatedPersonEnrolments,rpd,DelegatedPersonEnrolments
rpd,LaOrganisations,rpd,LaOrganisations
rpd,RegulatorComments,rpd,RegulatorComments
rpd,ProducerTypes,rpd,ProducerTypes
rpd,OrganisationRelationshipTypes,rpd,OrganisationRelationshipTypes
rpd,OrganisationRelationships,rpd,OrganisationRelationships
rpd,OrganisationRegistrationTypes,rpd,OrganisationRegistrationTypes
rpd,SubsidiaryOrganisations,rpd,SubsidiaryOrganisations
