schema,table_name,load_type,primary_key
dbo,OrganisationsConnections,INCR,ExternalId
dbo,PersonOrganisationConnections,INCR,ExternalId
dbo,PersonsConnections,INCR,ExternalId
dbo,Enrolments,INCR,ExternalId
dbo,ComplianceSchemes,INCR,ExternalId
dbo,SelectedSchemes,INCR,ExternalId
dbo,AuditLogs,FULL,
dbo,__EFMigrationsHistory,FULL,
dbo,EnrolmentStatuses,FULL,
dbo,InterOrganisationRoles,FULL,
dbo,InterPersonRoles,FULL,
dbo,Nations,FULL,
dbo,OrganisationToPersonRoles,FULL,
dbo,OrganisationTypes,FULL,
dbo,PersonInOrganisationRoles,FULL,
dbo,Services,FULL,
dbo,Users,FULL,
dbo,Organisations,INCR,ExternalId
dbo,ServiceRoles,FULL,
dbo,Persons,INCR,ExternalId
dbo,DelegatedPersonEnrolments,FULL,
dbo,PersonsConnections,INCR,ExternalId
dbo,InterPersonRoles,Full,
dbo,LaOrganisations,INCR,Id
dbo,RegulatorComments,INCR,ExternalId
dbo,ProducerTypes,FULL,
dbo,OrganisationRelationshipTypes,FULL,
dbo,OrganisationRelationships,INCR,Id
dbo,OrganisationRegistrationTypes,FULL,
dbo,SubsidiaryOrganisations,INCR,Id
